LRID	Ligand_geneid	Ligand_Uniprot	ligand_symbol	Receptor_geneid	Receptor_Uniprot	Receptor_symbol	PMID	Database
LRH5492	23308	O75144	ICOSLG	29851	Q9Y6W8	ICOS	29879883;11956294;21955433;14599850;16951355;25769613;11023515;10657606;23954143	CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;ICELLNET;SingleCellSignalR;connectomeDB2020;iTALK;OmniPath
LRH2805	7087	Q9UMF0	ICAM5	3689	P05107	ITGB2	9;10741396;8995416	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRH2806	7087	Q9UMF0	ICAM5	3683	P20701	ITGAL	9;10741396;8995416	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRH3113	7087	Q9UMF0	ICAM5	283659	Q2VWP7	PRTG	32822567	Cellinker;OmniPath
LRH3141	7087	Q9UMF0	ICAM5	57722	Q8TDY8	IGDCC4	32822567	Cellinker;OmniPath
LRH3251	7087	Q9UMF0	ICAM5	100507436	Q29983	MICA	32822567	Cellinker;OmniPath
LRH3580	7087	Q9UMF0	ICAM5	80380	Q9BQ51	PDCD1LG2	32589946	Cellinker;OmniPath
LRH5329	7087	Q9UMF0	ICAM5	30835	Q9NNX6	CD209	15795245	CellChatDB;OmniPath
LRH2519	3386	Q14773	ICAM4	3690	P05106	ITGB3	15355350	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRH2520	3386	Q14773	ICAM4	3685	P06756	ITGAV	11435317;15355350;11	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRH2708	3386	Q14773	ICAM4	3676	P13612	ITGA4	11435317	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRH2709	3386	Q14773	ICAM4	3688	P05556	ITGB1	11435317	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRH2784	3386	Q14773	ICAM4	3683	P20701	ITGAL	10846180;15355350	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRH2785	3386	Q14773	ICAM4	3684	P11215	ITGAM	10846180;15355350;11	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRH4679	3386	Q14773	ICAM4	3674	P08514	ITGA2B	15355350	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRH4893	3386	Q14773	ICAM4	3689	P05107	ITGB2	10846180;11;15355350;16985175	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRH5765	3386	Q14773	ICAM4	6005	Q02094	RHAG	8563755	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;iTALK;talklr;OmniPath
LRH6101	3386	Q14773	ICAM4	3688_3676	P05556_P13612	ITGA4_ITGB1	16988024	OmniPath
LRH6103	3386	Q14773	ICAM4	3690_3674	P05106_P08514	ITGA2B_ITGB3	16988024	OmniPath
LRH6119	3386	Q14773	ICAM4	3690_3685	P05106_P06756	ITGAV_ITGB3	16988024	OmniPath
LRH7951	3386	Q14773	ICAM4	3683_3689	P20701_P05107	ITGAL_ITGB2	10846180	/
LRH0004	3385	P32942	ICAM3	3689_3681	P05107_Q13349	ITGAD_ITGB2	8777714	CellPhoneDB;OmniPath
LRH0962	3385	P32942	ICAM3	3681	Q13349	ITGAD	8777714	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRH2484	3385	P32942	ICAM3	3683	P20701	ITGAL	11353828;15728350	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRH2485	3385	P32942	ICAM3	3689	P05107	ITGB2	11353828;15728350;7822326	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRH2732	3385	P32942	ICAM3	10332	Q9H2X3	CLEC4M	11257134	CellPhoneDB;CellTalkDB;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRH2550	3384	P13598	ICAM2	3683	P20701	ITGAL	15023143	CellTalkDB;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
