LRID	Ligand_geneid	Ligand_Uniprot	ligand_symbol	Receptor_geneid	Receptor_Uniprot	Receptor_symbol	PMID	Database
LRH3240	10068	O95998	IL18BP	3570	P08887	IL6R	32822567	Cellinker;OmniPath
LRH2157	3606	Q14116	IL18	10068	O95998	IL18BP	24115947;11278524;12381835;11907126;10094485;10655506;18203261;10023777	CellTalkDB;SingleCellSignalR;OmniPath
LRH2483	3606	Q14116	IL18	962	P09326	CD48	15760905	CellTalkDB;SingleCellSignalR;iTALK;talklr;OmniPath
LRH4711	3606	Q14116	IL18	8807_8809	O95256_Q13478	IL18R1_IL18RAP	9325300;14528293;20959797;9792649;24332029	CellChatDB;Cellinker;ICELLNET;OmniPath
LRH5566	3606	Q14116	IL18	8807	O95256	IL18RAP	9792649	CellTalkDB;IUPHAR/BPS;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRH5667	3606	Q14116	IL18	8809	Q13478	IL18R1	25261253;9325300;12096920;9792649;11046021	CellTalkDB;IUPHAR/BPS;HPMR;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;scConnect;talklr;OmniPath
LRH5668	3606	Q14116	IL18	8808	Q9HB29	IL1RL2	9325300	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;iTALK;talklr;OmniPath
LRH5669	3606	Q14116	IL18	11141	Q9NZN1	IL1RAPL1	9325300;11046021	CellTalkDB;Cellinker;HPMR;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRH7117	3606	Q14116	IL18	8807_8809_3606	O95256_Q13478_Q14116	IL18_IL18R1_IL18RAP		CellPhoneDB;OmniPath
LRH3826	84818	Q8NAC3	IL17RC	93185	Q969P0	IGSF8	32589946	Cellinker;OmniPath
LRH2039	112744	Q96PD4	IL17F	84818	Q8NAC3	IL17RC	18684971;28827714;17911633;19838198	CellTalkDB;IUPHAR/BPS;SingleCellSignalR;scConnect;OmniPath
LRH2359	112744	Q96PD4	IL17F	23765	Q96F46	IL17RA	18684971;19838198	CellTalkDB;IUPHAR/BPS;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRH4481	112744	Q96PD4	IL17F	84818_23765	Q8NAC3_Q96F46	IL17RA_IL17RC	24011563;19838198;25204502	CellChatDB;CellPhoneDB;Cellinker;ICELLNET;OmniPath
LRH0831	27189	Q9P0M4	IL17C	23765	Q96F46	IL17RA	21993848	IUPHAR/BPS;connectomeDB2020;OmniPath
