LRID	Ligand_geneid	Ligand_Uniprot	ligand_symbol	Receptor_geneid	Receptor_Uniprot	Receptor_symbol	PMID	Database
LRM1149	77397	Q8BM26	9530003J23Rik	16408	P24063	Itgal	32196115	CellTalkDB;SingleCellSignalR;iTALK;talklr;OmniPath
LRM5370	232345	Q6GQT1	A2m	16971	Q91ZX7	Lrp1	12194978;19026743;1702392;10652313	CellTalkDB;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM4771	11298	O88816	Aanat	244701	Q8CIQ6	Mtnr1b	12943195	CellTalkDB;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM4772	11298	O88816	Aanat	17773	Q61184	Mtnr1a	12943195	CellTalkDB;HPMR;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM6302	12931_12931	Q9JM58_Q9JM58	Crlf1_Clcf1	12804_16880_16195	O88507_P42703_Q00560	Cntfr_Lifr_Il6st	21715184	Cellinker
LRM5172	11421	P09470	Ace	12062	P32299	Bdkrb2	10748135;17077303	CellTalkDB;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM4996	11421	P09470	Ace	11609	P35374	Agtr2	11459796	CellTalkDB;SingleCellSignalR;Ramilowski2015;iTALK;talklr;OmniPath
LRM2741	70008	Q8R0I0	Ace2	100043314	P86176	Tigit	32589946	Cellinker;OmniPath
LRM0058	70008	Q8R0I0	Ace2	74338	Q9D687	Slc6a19	32132184;34189428	CellTalkDB;OmniPath
LRM3094	13349	Q9QUI6	Ackr1	12774	P51682	Ccr5	29637711	Cellinker;OmniPath
LRM3086	12778	P56485	Ackr3	12767	P70658	Cxcr4	25775528;21730065;29637711;19380869;27331810;28862946;29386406	Cellinker;OmniPath
LRM2687	100503991	D3YTS9	Acp4	58188	Q9JME9	Vstm2b	32589946	Cellinker;OmniPath
LRM1081	66713	P61161	Actr2	16835	P35951	Ldlr	32196115	CellTalkDB;SingleCellSignalR;OmniPath
LRM1064	66713	P61161	Actr2	14725	A2ARV4	Lrp2	32196115	CellTalkDB;SingleCellSignalR;OmniPath
LRM1471	66713	P61161	Actr2	11555	P18762	Adrb2	32196115	CellTalkDB;SingleCellSignalR;OmniPath
LRM6303	14729_54368	O08742_O88186	Gp5_Gp9	14723_14724	O35930_P56400	Gp1ba_Gp1bb	19286885	Cellinker
LRM6304	83430_16160	Q9EQ14_P43432	Il23a_Il12b	209590_16161	Q8K4B4_Q60837	Il23r_Il12rb1	12023369	Cellinker
LRM6267	246779_16159	Q8K3I6_P43431	Il27_Il12a	50931_16162	O70394_P97378	Il27ra_Il12rb2	24743305	DLRP;Cellinker
LRM6126	100042150	P56974	Nrg2	13866_13869	P70424_Q61527	Erbb2_Erbb4	9168115;9168114	IUPHAR/BPS;HPMR;Cellinker
LRM6127	100042150	P56974	Nrg2	13866_13867	P70424_Q61526	Erbb2_Erbb3	9168115;9168114	IUPHAR/BPS;HPMR;Cellinker
LRM2903	100317	Q8K135	Kiaa0319l	106347	Q8CBR1	Ildr1	32589946	Cellinker;OmniPath
LRM2713	100317	Q8K135	Kiaa0319l	107448	Q8K1S4	Unc5a	32589946	Cellinker;OmniPath
LRM2890	233186	Q920G3	Siglec5	100317	Q8K135	Kiaa0319l	32589946	Cellinker;OmniPath
LRM2979	11481	P27040	Acvr2b	13386	Q09163	Dlk1	32589946	Cellinker;OmniPath
LRM3268	11482	Q61288	Acvrl1	21812	Q64729	Tgfbr1	18333754;24319055;14580334	Cellinker;OmniPath
LRM2840	100317	Q8K135	Kiaa0319l	319742	Q3V3F6	Mpzl3	32589946	Cellinker;OmniPath
LRM3492	11482	Q61288	Acvrl1	12562	P55284	Cdh5	18337748	Cellinker;OmniPath
LRM3060	11482	Q61288	Acvrl1	11480	P27038	Acvr2a	30761306;8612709;10187774	Cellinker;OmniPath
LRM2100	11486	P03958	Ada	13482	P28843	Dpp4	21738897;11772392;15213224;8568233	CellTalkDB;SingleCellSignalR;OmniPath
LRM1672	11487	O35598	Adam10	208634	Q8VCF5	Tspan10	28687716;23035126	CellTalkDB;Cellinker;OmniPath
LRM1816	11487	O35598	Adam10	17295	P16056	Met	22689693	CellTalkDB;OmniPath
LRM1633	11487	O35598	Adam10	319504	Q810U4	Nrcam	30833305	CellTalkDB;OmniPath
LRM1915	11487	O35598	Adam10	269831	Q8BKT6	Tspan12	19587294	CellTalkDB;OmniPath
LRM3324	11487	O35598	Adam10	232670	Q8R3S2	Tspan33	23035126;23091066;26686862	Cellinker;OmniPath
LRM1721	11487	O35598	Adam10	93695	Q99P91	Gpnmb	26581806	CellTalkDB;OmniPath
LRM1667	11487	O35598	Adam10	83433	Q99NH8	Trem2	28923481	CellTalkDB;OmniPath
LRM1804	11487	O35598	Adam10	74257	Q9D7W4	Tspan17	23035126	CellTalkDB;Cellinker;OmniPath
LRM1803	11487	O35598	Adam10	70423	F7BWT7	Tspan15	23035126;23091066;26686862	CellTalkDB;Cellinker;OmniPath
LRM1688	11487	O35598	Adam10	56224	P62080	Tspan5	26686862;23035126;23091066;28428248	CellTalkDB;Cellinker;OmniPath
LRM1840	11487	O35598	Adam10	54725	Q8R5M8	Cadm1	22172944	CellTalkDB;OmniPath
LRM1654	11487	O35598	Adam10	52588	Q8QZY6	Tspan14	30013551;23035126;23091066;26686862	CellTalkDB;Cellinker;OmniPath
LRM1994	214968	Q76KF0	Sema6d	83433	Q99NH8	Trem2	16715077	CellTalkDB;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM3053	11487	O35598	Adam10	18417	Q60771	Cldn11	31112308	Cellinker;OmniPath
LRM5436	11487	O35598	Adam10	18129	O35516	Notch2	19601831;19704010;10423016;23331499;24842903;19726682	CellTalkDB;OmniPath
LRM5437	11487	O35598	Adam10	18128	Q01705	Notch1	19601831;19704010;22399336;28624438;19726682	CellTalkDB;Cellinker;SingleCellSignalR;OmniPath
LRM1871	11487	O35598	Adam10	16194	P22272	Il6ra	21454673	CellTalkDB;OmniPath
LRM3414	11487	O35598	Adam10	13638	O08545	Efna3	19823572	Cellinker;SingleCellSignalR;OmniPath
LRM1933	11487	O35598	Adam10	12505	P15379	Cd44	18971959;26284334	CellTalkDB;OmniPath
LRM3247	11487	O35598	Adam10	12305	Q03146	Ddr1	25540428	Cellinker;OmniPath
LRM0475	11488	Q9R1V4	Adam11	16401	Q00651	Itga4	28913673	connectomeDB2020;OmniPath
LRM2277	11489	Q61824	Adam12	104099	B8JK39	Itga9	10944520	CellTalkDB;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM6524	108151	Q8BH34	Sema3d	18187_243743	O35375_Q80UG2	Nrp2_Plxna4	27533782;19887479	Cellinker
LRM6523	108151	Q8BH34	Sema3d	18187_18846	O35375_P70208	Nrp2_Plxna3	27533782	Cellinker
LRM6526	108151	Q8BH34	Sema3d	18187_18845	O35375_P70207	Nrp2_Plxna2	27533782	Cellinker
LRM0640	11490	O88839	Adam15	16416	O54890	Itgb3	9914169;9516430	CellTalkDB;Cellinker;HPMR;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM0608	11490	O88839	Adam15	16412	P09055	Itgb1	10944520;109;9914169	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM0607	11490	O88839	Adam15	16410	P43406	Itgav	9914169	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM6525	108151	Q8BH34	Sema3d	18187_18844	O35375_P70206	Nrp2_Plxna1	27533782	Cellinker
LRM1815	11491	Q9Z0F8	Adam17	17295	P16056	Met	22689693	CellTalkDB;OmniPath
LRM1692	11491	Q9Z0F8	Adam17	217344	Q80WQ6	Rhbdf2	28104813	CellTalkDB;OmniPath
LRM6522	108151	Q8BH34	Sema3d	18186_243743	P97333_Q80UG2	Nrp1_Plxna4	27533782;19887479;26633812	Cellinker
LRM2121	11491	Q9Z0F8	Adam17	16412	P09055	Itgb1	30455686;22413019;14970227	CellTalkDB;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM1820	11491	Q9Z0F8	Adam17	16194	P22272	Il6ra	22575642;24790088	CellTalkDB;OmniPath
LRM3987	241568	Q8C031	Lrrc4c	80883	Q8R4G0	Ntng1	14595443;25411505;21946559	CellChatDB;Cellinker;HPMR;OmniPath
LRM1880	11495	Q60718	Adam2	104099	B8JK39	Itga9	21060781	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM1879	11495	Q60718	Adam2	16421	P26011	Itgb7	21060781	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM2924	56622	Q9JI76	Adam21	230868	Q7TNR6	Igsf21	32589946	Cellinker;OmniPath
LRM2995	56622	Q9JI76	Adam21	71183	Q149M0	Clec12b	32589946	Cellinker;OmniPath
LRM2983	56622	Q9JI76	Adam21	54698	Q149L7	Crtam	32589946	Cellinker;OmniPath
LRM0474	23792	Q9R1V7	Adam23	16401	Q00651	Itga4	28913673	connectomeDB2020;OmniPath
LRM2913	23793	Q9R159	Adam25	331461	P59823	Il1rapl1	32589946	Cellinker;OmniPath
LRM2910	23793	Q9R159	Adam25	60367	Q9ERS6	Il1rapl2	32589946	Cellinker;OmniPath
LRM0473	244486	Q811Q4	Adam29	16401	Q00651	Itga4	28913673	connectomeDB2020;OmniPath
LRM0594	11500	O35227	Adam7	16421	P26011	Itgb7	15504110	connectomeDB2020;OmniPath
LRM0595	11500	O35227	Adam7	16401	Q00651	Itga4	15504110	connectomeDB2020;OmniPath
LRM2088	11502	Q61072	Adam9	16400	Q62470	Itga3	15361064	CellTalkDB;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM1713	330119	E9Q287	Adamts3	320924	Q3MI99	Ccbe1	27159393	CellTalkDB;OmniPath
LRM4759	11516	O70176	Adcyap1	319229	Q5FWI2	Sctr	1335692	CellPhoneDB;CellTalkDB;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM1310	11516	O70176	Adcyap1	239530	Q8BYC4	Gpr20	32196115	CellTalkDB;SingleCellSignalR;OmniPath
LRM1286	11516	O70176	Adcyap1	80910	Q8CIM5	Gpr84	32196115	CellTalkDB;SingleCellSignalR;OmniPath
LRM1793	11516	O70176	Adcyap1	56089	Q9WUP1	Ramp3	23745705	CellTalkDB;SingleCellSignalR;OmniPath
LRM1795	11516	O70176	Adcyap1	54409	Q9WUP0	Ramp2	23745705	CellTalkDB;SingleCellSignalR;OmniPath
LRM4932	11516	O70176	Adcyap1	22355	P41588	Vipr2	9928018;11978642;16930633;11931347;8146174;12488235	CellPhoneDB;CellTalkDB;Cellinker;IUPHAR/BPS;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;scConnect;talklr;OmniPath
LRM4938	11516	O70176	Adcyap1	22354	P97751	Vipr1	9928018;12429744;16930633;8791009;11931347;11897681;12488235	CellPhoneDB;CellTalkDB;Cellinker;IUPHAR/BPS;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;scConnect;talklr;OmniPath
LRM0875	11516	O70176	Adcyap1	22095	P47750	Tshr	32196115	CellTalkDB;SingleCellSignalR;OmniPath
LRM0976	11516	O70176	Adcyap1	19228	P41593	Pth1r	32196115	CellTalkDB;SingleCellSignalR;OmniPath
LRM3388	11516	O70176	Adcyap1	13482	P28843	Dpp4	21314817	CellPhoneDB;CellTalkDB;Cellinker;OmniPath
LRM1441	11516	O70176	Adcyap1	11556	P25962	Adrb3	32196115	CellTalkDB;SingleCellSignalR;OmniPath
LRM1470	11516	O70176	Adcyap1	11555	P18762	Adrb2	32196115	CellTalkDB;SingleCellSignalR;OmniPath
LRM2521	70693	Q7TT36	Adgra3	243958	Q80ZE3	Siglec10	32822567	Cellinker;OmniPath
LRM0440	107831	Q3UHD1	Adgrb1	269295	Q7M6Z0	Rtn4rl2	30477585	connectomeDB2020;OmniPath
LRM0441	107831	Q3UHD1	Adgrb1	237847	Q8K0S5	Rtn4rl1	30477585	connectomeDB2020;OmniPath
LRM0442	107831	Q3UHD1	Adgrb1	65079	Q99PI8	Rtn4r	30477585	connectomeDB2020;OmniPath
LRM5872	11450	Q60994	Adipoq	269053	Q8BXS7	Gpr152		CellPhoneDB;OmniPath
LRM5758	11450	Q60994	Adipoq	246313	Q8K458	Prokr2		CellPhoneDB;OmniPath
LRM4793	11450	Q60994	Adipoq	72674	Q91VH1	Adipor1	16622416;12802337;21284979	CellChatDB;CellTalkDB;Cellinker;HPMR;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM4794	11450	Q60994	Adipoq	68465	Q8BQS5	Adipor2	16622416;12802330;12802337;21284979	CellChatDB;CellTalkDB;Cellinker;HPMR;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM1607	11450	Q60994	Adipoq	12802	P47936	Cnr2	32103204	CellPhoneDB;CellTalkDB;OmniPath
LRM6053	11450	Q60994	Adipoq	11890	P24721	Asgr2		CellPhoneDB;OmniPath
LRM0701	11535	P97297	Adm	11536	P43142	Gpr182	7592696	CellTalkDB;Cellinker;HPMR;SingleCellSignalR;Ramilowski2015;iTALK;talklr;OmniPath
LRM3075	11535	P97297	Adm	245038	Q8BWQ5	Dclk3	30139742	Cellinker;OmniPath
LRM4612	11535	P97297	Adm	243978	Q3UG50	Mrgprx2	15823563;15823560;16;16111673	CellPhoneDB;Cellinker;IUPHAR/BPS;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;scConnect;talklr;OmniPath
LRM1309	11535	P97297	Adm	239530	Q8BYC4	Gpr20	32196115	CellTalkDB;SingleCellSignalR;OmniPath
LRM4613	11535	P97297	Adm	233231	Q3UG61	Mrgprb1	15823563;15823560;16;16111673	CellPhoneDB;Cellinker;IUPHAR/BPS;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;scConnect;talklr;OmniPath
LRM1285	11535	P97297	Adm	80910	Q8CIM5	Gpr84	32196115	CellTalkDB;SingleCellSignalR;OmniPath
LRM2131	11535	P97297	Adm	56089	Q9WUP1	Ramp3	14712479;11693189;15692146;27391260;10347248;30139742;12565884	CellTalkDB;Cellinker;IUPHAR/BPS;SingleCellSignalR;connectomeDB2020;OmniPath
LRM0634	11535	P97297	Adm	54598	Q9R1W5	Calcrl	9620797;11693189;10347248	CellChatDB;CellTalkDB;Cellinker;IUPHAR/BPS;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;scConnect;talklr;OmniPath
LRM0635	11535	P97297	Adm	54409	Q9WUP0	Ramp2	9620797;30139742;12565884;11693189	CellTalkDB;Cellinker;IUPHAR/BPS;HPMR;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM2086	11535	P97297	Adm	51801	Q9WTJ5	Ramp1	9620797;11693189;15692146;15361343;30139742;12565884	CellTalkDB;Cellinker;IUPHAR/BPS;OmniPath
LRM0851	11535	P97297	Adm	22354	P97751	Vipr1	32196115	CellTalkDB;SingleCellSignalR;OmniPath
LRM0874	11535	P97297	Adm	22095	P47750	Tshr	32196115	CellTalkDB;SingleCellSignalR;OmniPath
LRM0975	11535	P97297	Adm	19228	P41593	Pth1r	32196115	CellTalkDB;SingleCellSignalR;OmniPath
LRM3096	11535	P97297	Adm	12778	P56485	Ackr3	29637711	Cellinker;OmniPath
LRM4835	11535	P97297	Adm	12311	Q60755	Calcr	15692146;10781016;12565884;13	CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;IUPHAR/BPS;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;scConnect;talklr;OmniPath
LRM1440	11535	P97297	Adm	11556	P25962	Adrb3	32196115	CellTalkDB;SingleCellSignalR;OmniPath
LRM1469	11535	P97297	Adm	11555	P18762	Adrb2	32196115	CellTalkDB;SingleCellSignalR;OmniPath
LRM1540	11535	P97297	Adm	11517	P70205	Adcyap1r1	32196115	CellTalkDB;SingleCellSignalR;OmniPath
LRM3074	223780	Q7TNK8	Adm2	245038	Q8BWQ5	Dclk3	30139742	Cellinker;OmniPath
LRM1308	223780	Q7TNK8	Adm2	239530	Q8BYC4	Gpr20	32196115	CellTalkDB;SingleCellSignalR;OmniPath
LRM1284	223780	Q7TNK8	Adm2	80910	Q8CIM5	Gpr84	32196115	CellTalkDB;SingleCellSignalR;OmniPath
LRM1717	223780	Q7TNK8	Adm2	56089	Q9WUP1	Ramp3	20596793;30139742;21658025;27013657	CellTalkDB;Cellinker;IUPHAR/BPS;SingleCellSignalR;connectomeDB2020;OmniPath
LRM4733	223780	Q7TNK8	Adm2	54598	Q9R1W5	Calcrl	14615490;21658025	CellTalkDB;Cellinker;IUPHAR/BPS;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;scConnect;talklr;OmniPath
LRM0823	223780	Q7TNK8	Adm2	54409	Q9WUP0	Ramp2	20596793;21658025;32196115;30139743	CellTalkDB;Cellinker;IUPHAR/BPS;SingleCellSignalR;connectomeDB2020;OmniPath
LRM4811	223780	Q7TNK8	Adm2	51801	Q9WTJ5	Ramp1	30139742;12684503;21658025	CellTalkDB;Cellinker;IUPHAR/BPS;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM0850	223780	Q7TNK8	Adm2	22354	P97751	Vipr1	32196115	CellTalkDB;SingleCellSignalR;OmniPath
LRM0873	223780	Q7TNK8	Adm2	22095	P47750	Tshr	32196115	CellTalkDB;SingleCellSignalR;OmniPath
LRM0974	223780	Q7TNK8	Adm2	19228	P41593	Pth1r	32196115	CellTalkDB;SingleCellSignalR;OmniPath
LRM4665	223780	Q7TNK8	Adm2	12311	Q60755	Calcr	21658025;15692146	CellPhoneDB;CellTalkDB;IUPHAR/BPS;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;scConnect;talklr;OmniPath
LRM1439	223780	Q7TNK8	Adm2	11556	P25962	Adrb3	32196115	CellTalkDB;SingleCellSignalR;OmniPath
LRM1468	223780	Q7TNK8	Adm2	11555	P18762	Adrb2	32196115	CellTalkDB;SingleCellSignalR;OmniPath
LRM1539	223780	Q7TNK8	Adm2	11517	P70205	Adcyap1r1	32196115	CellTalkDB;SingleCellSignalR;OmniPath
LRM3277	211488	Q6PDY2	Ado	11542	Q61618	Adora3	23994158	Cellinker;OmniPath
LRM3278	211488	Q6PDY2	Ado	11541	Q60614	Adora2b	23994158	Cellinker;OmniPath
LRM3279	211488	Q6PDY2	Ado	11540	Q60613	Adora2a	23994158	Cellinker;OmniPath
LRM3280	211488	Q6PDY2	Ado	11539	Q60612	Adora1	23994158	Cellinker;OmniPath
LRM3690	11539	Q60612	Adora1	14816	P97772	Grm1	11278325	Cellinker;OmniPath
LRM3164	11540	Q60613	Adora2a	14763	Q9QY42	Gpr37	28298427	Cellinker;OmniPath
LRM3085	11549	P97718	Adra1a	12767	P70658	Cxcr4	25775528;29637711;28862946;27331810	Cellinker;OmniPath
LRM3084	11548	P97717	Adra1b	12767	P70658	Cxcr4	25775528;29637711;28862946;29426850	Cellinker;OmniPath
LRM3290	11555	P18762	Adrb2	216157	Q8CIV2	Tmem259	23798571	Cellinker;OmniPath
LRM3265	11555	P18762	Adrb2	52710	Q9D8F3	Slc52a2	24561123	Cellinker;OmniPath
LRM3264	11555	P18762	Adrb2	30960	Q9WV55	Vapa	24561123	Cellinker;OmniPath
LRM3159	11555	P18762	Adrb2	23945	O35678	Mgll	28298427	Cellinker;OmniPath
LRM3249	11555	P18762	Adrb2	22630	P68254	Ywhaq	25402006	Cellinker;OmniPath
LRM3158	11555	P18762	Adrb2	19122	P04925	Prnp	28298427	Cellinker;OmniPath
LRM3327	11555	P18762	Adrb2	17441	Q61885	Mog	23023127	Cellinker;OmniPath
LRM3162	11555	P18762	Adrb2	17196	P04370	Mbp	28298427	Cellinker;OmniPath
LRM3289	11555	P18762	Adrb2	15387	P61979	Hnrnpk	25402006;23798571	Cellinker;OmniPath
LRM3263	11555	P18762	Adrb2	14763	Q9QY42	Gpr37	24561123	Cellinker;OmniPath
LRM3093	11555	P18762	Adrb2	12775	P47774	Ccr7	29637711	Cellinker;OmniPath
LRM3090	11555	P18762	Adrb2	12767	P70658	Cxcr4	29637711	Cellinker;OmniPath
LRM3326	11555	P18762	Adrb2	12426	P56481	Cckbr	24561123;23023127	Cellinker;OmniPath
LRM0624	17356	Q9QZQ1	Afdn	18190	E9Q7X7	Nrxn2	9707552	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;iTALK;talklr;OmniPath
LRM1742	17356	Q9QZQ1	Afdn	71740	Q8R007	Nectin4	15811349;25926640;11544254	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM4057	17356	Q9QZQ1	Afdn	58998	Q9JLB9	Nectin3	25263091;15811349;10744716;11024295	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM2361	17356	Q9QZQ1	Afdn	58235	Q9JKF6	Nectin1	10225955;15811349;10617658;11544254;11	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM3754	17356	Q9QZQ1	Afdn	19294	P32507	Nectin2	10225955;15811349;10617658;23750010;10733589;1;11544254	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM0623	17356	Q9QZQ1	Afdn	18191	Q6P9K9	Nrxn3	9707552	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;iTALK;talklr;OmniPath
LRM2286	17356	Q9QZQ1	Afdn	16456	O88792	F11r	10856295	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM0626	17356	Q9QZQ1	Afdn	13848	O08644	Ephb6	9707552	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM0625	17356	Q9QZQ1	Afdn	13845	P54754	Ephb3	9707552	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM0627	17356	Q9QZQ1	Afdn	13844	P54763	Ephb2	9707552	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM0628	17356	Q9QZQ1	Afdn	13841	Q61772	Epha7	9707552;11544254	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM2993	11596	Q62151	Ager	66864	Q8VCP9	Clec14a	32589946	Cellinker;OmniPath
LRM4272	11603	A2ASQ1	Agrn	18198	Q61006	Musk	23331499;8653787;18848351	CellTalkDB;Cellinker;HPMR;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM1071	11603	A2ASQ1	Agrn	16971	Q91ZX7	Lrp1	32196115	CellTalkDB;SingleCellSignalR;OmniPath
LRM0647	11603	A2ASQ1	Agrn	16412	P09055	Itgb1	9367446	CellTalkDB;SingleCellSignalR;OmniPath
LRM1063	11603	A2ASQ1	Agrn	14725	A2ARV4	Lrp2	32196115	CellTalkDB;SingleCellSignalR;OmniPath
LRM3064	11603	A2ASQ1	Agrn	13138	Q62165	Dag1	7531888;30478082	CellChatDB;Cellinker;connectomeDB2020;OmniPath
LRM2221	11604	P56473	Agrp	20970	Q64519	Sdc3	11461706	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM3682	11604	P56473	Agrp	20969	P18828	Sdc1	11461706	Cellinker;OmniPath
LRM4077	11604	P56473	Agrp	17203	P41149	Mc5r	9892020 ;9892020	CellPhoneDB;CellTalkDB;Cellinker;IUPHAR/BPS;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;scConnect;talklr;OmniPath
LRM5327	11604	P56473	Agrp	17202	P56450	Mc4r	10318826;9299416;12815165;9311920;11747427	CellPhoneDB;CellTalkDB;Cellinker;IUPHAR/BPS;HPMR;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;scConnect;talklr;OmniPath
LRM4965	11604	P56473	Agrp	17201	P33033	Mc3r	9819197;9893984;10318826;9311920;11747427	CellPhoneDB;CellTalkDB;Cellinker;IUPHAR/BPS;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;scConnect;talklr;OmniPath
LRM3601	11604	P56473	Agrp	17199	Q01727	Mc1r	14535656	Cellinker;OmniPath
LRM1262	11606	P11859	Agt	108073	Q68ED2	Grm7	32196115	CellTalkDB;SingleCellSignalR;OmniPath
LRM1042	11606	P11859	Agt	17773	Q61184	Mtnr1a	32196115	CellTalkDB;SingleCellSignalR;OmniPath
LRM4789	11606	P11859	Agt	17171	P30554	Mas1	12829792;12829790	CellChatDB;CellTalkDB;Cellinker;HPMR;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM4678	11606	P11859	Agt	14725	A2ARV4	Lrp2	15467006	CellTalkDB;Cellinker;HPMR;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM1657	11606	P11859	Agt	13809	P16406	Enpep	1756856;29900035	CellTalkDB;SingleCellSignalR;OmniPath
LRM4567	11606	P11859	Agt	11609	P35374	Agtr2	17138938;8315512;21542804;8185599;2775266;8242249;7850406;21464395	CellPhoneDB;CellTalkDB;IUPHAR/BPS;HPMR;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;scConnect;talklr;OmniPath
LRM2271	11606	P11859	Agt	11607	P29754	Agtr1a	12006574;16597412;15930094;10993080;17346243;10193788;21464395	CellChatDB;CellPhoneDB;CellTalkDB;IUPHAR/BPS;HPMR;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;scConnect;talklr;OmniPath
LRM1517	11606	P11859	Agt	11551	Q01338	Adra2a	32196115	CellTalkDB;SingleCellSignalR;OmniPath
LRM3168	11607	P29754	Agtr1a	241447	Q8C172	Cers6	28298427	Cellinker;OmniPath
LRM3248	11607	P29754	Agtr1a	22630	P68254	Ywhaq	25402006	Cellinker;OmniPath
LRM3170	11607	P29754	Agtr1a	11931	P14094	Atp1b1	28298427	Cellinker;OmniPath
LRM2212	11610	Q9WVK0	Agtrap	14694	P68040	Rack1	11733189	CellTalkDB;OmniPath
LRM4334	11625	P29699	Ahsg	16337	P15208	Insr	7906861	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM5782	13722	P31230	Aimp1	18211	Q3UFB7	Ntrk1		CellPhoneDB;OmniPath
LRM3539	11657	P07724	Alb	22329	P29533	Vcam1	16601240	Cellinker;OmniPath
LRM5059	11657	P07724	Alb	14725	A2ARV4	Lrp2	89;11158855;8898021	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM0432	11658	Q61490	Alcam	18186	P97333	Nrp1	31300520	connectomeDB2020;OmniPath
LRM0433	11658	Q61490	Alcam	12661	P70232	Chl1	31300520	connectomeDB2020;OmniPath
LRM0446	207683	P0C673	Igsf11	74048	Q9D659	Vsir	30220083	connectomeDB2020;OmniPath
