LRID	Ligand_geneid	Ligand_Uniprot	ligand_symbol	Receptor_geneid	Receptor_Uniprot	Receptor_symbol	PMID	Database
LRM3838	55985	O55038	Cxcl13	13349	Q9QUI6	Ackr1	26740381	CellChatDB;Cellinker;OmniPath
LRM5180	55985	O55038	Cxcl13	12777	Q9JL21	Ccr10	10706668	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM4982	55985	O55038	Cxcl13	12766	O88410	Cxcr3	11554781;22633458	CellChatDB;CellTalkDB;Cellinker;ICELLNET;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM4142	55985	O55038	Cxcl13	12145	Q04683	Cxcr5	9486651;24218476;9463416;22633458;10699158;28389721;22913878	CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;IUPHAR/BPS;HPMR;ICELLNET;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;scConnect;talklr;OmniPath
LRM1497	55985	O55038	Cxcl13	11551	Q01338	Adra2a	32196115	CellTalkDB;SingleCellSignalR;OmniPath
LRM0713	57266	Q9WUQ5	Cxcl14	12767	P70658	Cxcr4	28360196;32239134	CellTalkDB;connectomeDB2020;OmniPath
LRM1242	66102	Q8BSU2	Cxcl16	108073	Q68ED2	Grm7	32196115	CellTalkDB;SingleCellSignalR;OmniPath
LRM5091	66102	Q8BSU2	Cxcl16	80901	Q9EQ16	Cxcr6	14625285;11290797;22633458;11017100	CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;IUPHAR/BPS;HPMR;ICELLNET;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;scConnect;talklr;OmniPath
LRM1021	66102	Q8BSU2	Cxcl16	17773	Q61184	Mtnr1a	32196115	CellTalkDB;SingleCellSignalR;OmniPath
LRM1496	66102	Q8BSU2	Cxcl16	11551	Q01338	Adra2a	32196115	CellTalkDB;SingleCellSignalR;OmniPath
LRM1751	232983	Q5UW37	Cxcl17	64095	Q9ES90	Gpr35	25411203	CellPhoneDB;CellTalkDB;connectomeDB2020;scConnect;OmniPath
LRM4768	20310	P10889	Cxcl2	227288	Q810W6	Cxcr1	8702798;87;12964882	CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM1241	20310	P10889	Cxcl2	108073	Q68ED2	Grm7	32196115	CellTalkDB;SingleCellSignalR;OmniPath
LRM1020	20310	P10889	Cxcl2	17773	Q61184	Mtnr1a	32196115	CellTalkDB;SingleCellSignalR;OmniPath
LRM3836	20310	P10889	Cxcl2	13349	Q9QUI6	Ackr1	29637711;26740381	CellChatDB;Cellinker;OmniPath
LRM4254	20310	P10889	Cxcl2	12765	P35343	Cxcr2	8702798;24218476;22633458;10699158	CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;IUPHAR/BPS;ICELLNET;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;scConnect;talklr;OmniPath
LRM1495	20310	P10889	Cxcl2	11551	Q01338	Adra2a	32196115	CellTalkDB;SingleCellSignalR;OmniPath
LRM5228	20311	P50228	Cxcl5	227288	Q810W6	Cxcr1	9485196;12964882;8702798;24218476;22633458;9692902;10699158;10593335	CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;IUPHAR/BPS;HPMR;ICELLNET;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;scConnect;talklr;OmniPath
LRM1240	20311	P50228	Cxcl5	108073	Q68ED2	Grm7	32196115	CellTalkDB;SingleCellSignalR;OmniPath
LRM1019	20311	P50228	Cxcl5	17773	Q61184	Mtnr1a	32196115	CellTalkDB;SingleCellSignalR;OmniPath
LRM4500	20311	P50228	Cxcl5	13349	Q9QUI6	Ackr1	29637711;26740381;20643340;10699158	CellChatDB;CellTalkDB;Cellinker;SingleCellSignalR;OmniPath
LRM5227	20311	P50228	Cxcl5	12765	P35343	Cxcr2	9485196;12964882;8702798;24218476;22633458;9692902;10593335	CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;IUPHAR/BPS;ICELLNET;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;scConnect;talklr;OmniPath
LRM1494	20311	P50228	Cxcl5	11551	Q01338	Adra2a	32196115	CellTalkDB;SingleCellSignalR;OmniPath
LRM1239	17329	P18340	Cxcl9	108073	Q68ED2	Grm7	32196115	CellTalkDB;SingleCellSignalR;OmniPath
LRM1018	17329	P18340	Cxcl9	17773	Q61184	Mtnr1a	32196115	CellTalkDB;SingleCellSignalR;OmniPath
LRM2374	17329	P18340	Cxcl9	13482	P28843	Dpp4	18275857;24218476;11390394;21314817	CellPhoneDB;CellTalkDB;Cellinker;OmniPath
LRM3837	17329	P18340	Cxcl9	13349	Q9QUI6	Ackr1	26740381	CellChatDB;Cellinker;OmniPath
LRM5075	17329	P18340	Cxcl9	12771	P51678	Ccr3	22633458;11110785	CellTalkDB;Cellinker;IUPHAR/BPS;ICELLNET;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;scConnect;talklr;OmniPath
LRM4799	17329	P18340	Cxcl9	12766	O88410	Cxcr3	12750173;9625760;11259614;15761110;24218476;9660793;10699158;12884299;12782716	CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;IUPHAR/BPS;ICELLNET;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;scConnect;talklr;OmniPath
LRM1493	17329	P18340	Cxcl9	11551	Q01338	Adra2a	32196115	CellTalkDB;SingleCellSignalR;OmniPath
LRM5440	12313	P0DP28	Calm3	13982	P19785	Esr1	22275375;15657064;16396959;11981030;16998587;28174300	CellTalkDB;OmniPath
LRM3209	12767	P70658	Cxcr4	13482	P28843	Dpp4	11278278;26671446	Cellinker;OmniPath
LRM3092	12767	P70658	Cxcr4	12775	P47774	Ccr7	29637711	Cellinker;OmniPath
LRM3089	12767	P70658	Cxcr4	12774	P51682	Ccr5	18923649;15660419;29637711;19758998;18632580;12429730	Cellinker;OmniPath
LRM5771	13070	Q9QZ82	Cyp11a1	231474	Q6TCG8	Paqr3		HPMR;OmniPath
LRM0517	231162	A1E5L0	Cytl1	12772	P51683	Ccr2	27084102	connectomeDB2020;OmniPath
LRM5416	16449	Q9QXX0	Jag1	18128	Q01705	Notch1	21820430;18292500;21071413;11;15137944;23086448;22353464;18660822;16713569;18988627;22363130;23331499;17537801;22330899;10958687;11006133;16921404;7697721;18495817	CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;HPMR;ICELLNET;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM5418	16449	Q9QXX0	Jag1	18129	O35516	Notch2	10958687;22353464;16921404;18660822;18988627;21071413;10551863;23331499;11;22330899;22363130	CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;HPMR;ICELLNET;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM2776	13138	Q62165	Dag1	67887	Q8R3Q0	Saraf	32589946	Cellinker;OmniPath
LRM5417	16449	Q9QXX0	Jag1	18131	Q61982	Notch3	11006133;22353464;16921404;14714274;18660822;12482954;22330899;22363130	CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;HPMR;ICELLNET;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM5415	16449	Q9QXX0	Jag1	18132	P31695	Notch4	29910816;22353464;24563863;22330899;22363130	CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM4026	12313	P0DP26	Calm1	13649	Q01279	Egfr	16799092;25402006;24658140;12359306;14960328;19527647;12153558;20029029;21115073	CellTalkDB;SingleCellSignalR;iTALK;OmniPath
LRM4025	12313	P0DP27	Calm2	13649	Q01279	Egfr	16799092;25402006;24658140;12359306;14960328;19527647;12153558;20029029;21115073	CellTalkDB;SingleCellSignalR;iTALK;OmniPath
LRM2974	13138	Q62165	Dag1	13641	P52795	Efnb1	32589946	Cellinker;OmniPath
LRM6071	13166	Q64237	Dbh	11550	P97714	Adra1d		HPMR;OmniPath
LRM6072	13166	Q64237	Dbh	11548	P97717	Adra1b		HPMR;OmniPath
LRM5866	13166	Q64237	Dbh	240888	B2RPY5	Gpr161		HPMR;OmniPath
LRM6060	13166	Q64237	Dbh	11556	P25962	Adrb3		HPMR;OmniPath
LRM6066	13166	Q64237	Dbh	11555	P18762	Adrb2		HPMR;OmniPath
LRM6067	13166	Q64237	Dbh	11554	P34971	Adrb1		HPMR;OmniPath
LRM6068	13166	Q64237	Dbh	11553	Q01337	Adra2c		HPMR;OmniPath
LRM6069	13166	Q64237	Dbh	11552	P30545	Adra2b		HPMR;OmniPath
LRM6070	13166	Q64237	Dbh	11551	Q01338	Adra2a		HPMR;OmniPath
LRM6073	13166	Q64237	Dbh	11549	P97718	Adra1a		HPMR;OmniPath
LRM3097	13170	Q60925	Dbp	13349	Q9QUI6	Ackr1	29637711	Cellinker;OmniPath
LRM4024	12313	P0DP28	Calm3	13649	Q01279	Egfr	16799092;25402006;24658140;12359306;14960328;19527647;12153558;20029029;21115073	CellTalkDB;SingleCellSignalR;iTALK;OmniPath
LRM3426	12313	P0DP28	Calm3	13489	P61168	Drd2	19632986	Cellinker;OmniPath
LRM3704	13176	P70211	Dcc	11541	Q60614	Adora2b	11048721	Cellinker;OmniPath
LRM3427	12313	P0DP27	Calm2	13489	P61168	Drd2	19632986	Cellinker;OmniPath
LRM3070	245038	Q8BWQ5	Dclk3	56089	Q9WUP1	Ramp3	30139742	Cellinker;OmniPath
LRM3071	245038	Q8BWQ5	Dclk3	54409	Q9WUP0	Ramp2	30139742	Cellinker;OmniPath
LRM3072	245038	Q8BWQ5	Dclk3	51801	Q9WTJ5	Ramp1	30139742	Cellinker;OmniPath
LRM3428	12313	P0DP26	Calm1	13489	P61168	Drd2	19632986	Cellinker;OmniPath
LRM3300	13179	P28654	Dcn	24088	Q9QUN7	Tlr2	23350913;22087031	Cellinker;connectomeDB2020;OmniPath
LRM3299	13179	P28654	Dcn	21898	Q9QUK6	Tlr4	23350913;22087031	Cellinker;connectomeDB2020;OmniPath
LRM0759	12313	P0DP26	Calm1	12921	P35347	Crhr1	15670850;32196115	CellTalkDB;SingleCellSignalR;iTALK;OmniPath
LRM3303	13179	P28654	Dcn	16971	Q91ZX7	Lrp1	23350913	Cellinker;OmniPath
LRM3304	13179	P28654	Dcn	16542	P35918	Kdr	23350913	Cellinker;OmniPath
LRM3305	13179	P28654	Dcn	16001	Q60751	Igf1r	23350913	Cellinker;OmniPath
LRM2278	13179	P28654	Dcn	13869	Q61527	Erbb4	10942781	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM4893	13179	P28654	Dcn	13649	Q01279	Egfr	12105206;23350913;9988678;12105207	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM2854	12305	Q03146	Ddr1	433099	B2RXM6	Ly6g6f	32589946	Cellinker;OmniPath
LRM0172	12305	Q03146	Ddr1	22139	P07309	Ttr	16169070	CellPhoneDB;OmniPath
LRM0758	12313	P0DP27	Calm2	12921	P35347	Crhr1	15670850;32196115	CellTalkDB;SingleCellSignalR;iTALK;OmniPath
LRM3098	18214	Q62371	Ddr2	12305	Q03146	Ddr1	29616590	Cellinker;OmniPath
LRM4529	13363	Q61488	Dhh	117606	Q6AZB0	Boc	20519495;18698484	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM4528	13363	Q61488	Dhh	57810	Q32MD9	Cdon	20519495;18698484	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM4096	13363	Q61488	Dhh	19207	O35595	Ptch2	23331499;9811851;9811851 	CellTalkDB;Cellinker;HPMR;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM4099	13363	Q61488	Dhh	19206	Q61115	Ptch1	23331499;9811851;8906787;19399989	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM5355	13363	Q61488	Dhh	15245	Q7TN16	Hhip	11435703;19561609;10050855;11;19561611	CellTalkDB;Cellinker;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM0574	13380	O54908	Dkk1	228357	Q8VI56	Lrp4	19936252	connectomeDB2020;OmniPath
LRM4901	13380	O54908	Dkk1	84035	Q99N43	Kremen1	23331499;12050670;12527209	CellTalkDB;Cellinker;HPMR;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM5385	13380	O54908	Dkk1	73016	Q8K1S7	Kremen2	19101658;12527209;12050670;23331499;18786602;16307379	CellTalkDB;Cellinker;HPMR;SingleCellSignalR;Ramilowski2015;connectomeDB2020;iTALK;talklr;OmniPath
LRM5448	13380	O54908	Dkk1	22416	P27467	Wnt3a	22807036;17804805;11448771;19339249	CellChatDB;OmniPath
